variable,x,y
primaria,47.1,0.0
primaria,47.5536,0.0
primaria,48.007200000000005,0.0
primaria,48.4608,0.0
primaria,48.9144,0.0
primaria,49.368,0.0
primaria,49.821600000000004,0.0
primaria,50.2752,0.0
primaria,50.7288,0.0
primaria,51.1824,0.0
primaria,51.636,0.0
primaria,52.089600000000004,0.0
primaria,52.5432,0.0
primaria,52.9968,0.0
primaria,53.4504,0.0
primaria,53.904,0.0
primaria,54.3576,0.0
primaria,54.8112,0.0
primaria,55.2648,0.0
primaria,55.7184,0.0
primaria,56.172,0.0
primaria,56.6256,0.0
primaria,57.0792,0.0
primaria,57.5328,0.0
primaria,57.9864,0.0
primaria,58.44,0.0
primaria,58.8936,0.0
primaria,59.3472,0.0
primaria,59.8008,0.0
primaria,60.254400000000004,0.0
primaria,60.708,0.0
primaria,61.1616,0.0
primaria,61.6152,0.0
primaria,62.0688,0.0
primaria,62.522400000000005,0.0
primaria,62.976,0.0
primaria,63.4296,0.0
primaria,63.8832,0.0
primaria,64.3368,0.0
primaria,64.7904,0.0
primaria,65.244,0.0
primaria,65.6976,0.0
primaria,66.1512,0.019997313618659973
primaria,66.6048,0.020924605429172516
primaria,67.0584,0.021893706172704697
primaria,67.512,0.022906390950083733
primaria,67.9656,0.023964550346136093
primaria,68.4192,0.025070132687687874
primaria,68.8728,0.026225188747048378
primaria,69.3264,0.027431784197688103
primaria,69.78,0.028692128136754036
primaria,70.2336,0.03000849112868309
primaria,70.68719999999999,0.03138326108455658
primaria,71.1408,0.032818835228681564
primaria,71.59440000000001,0.03431778401136398
primaria,72.048,0.03588273748755455
primaria,72.5016,0.037516459822654724
primaria,72.95519999999999,0.03922172635793686
primaria,73.4088,0.04100149869918823
primaria,73.86240000000001,0.04285881668329239
primaria,74.316,0.044796861708164215
primaria,74.7696,0.046818818897008896
primaria,75.22319999999999,0.04892808571457863
primaria,75.6768,0.05112818256020546
primaria,76.1304,0.05342262610793114
primaria,76.584,0.05581516772508621
primaria,77.0376,0.05830962955951691
primaria,77.49119999999999,0.06091001257300377
primaria,77.9448,0.06362029910087585
primaria,78.3984,0.06644471734762192
primaria,78.852,0.06938757747411728
primaria,79.3056,0.07245338708162308
primaria,79.75919999999999,0.07564657926559448
primaria,80.21279999999999,0.07897190004587173
primaria,80.6664,0.08243413269519806
primaria,81.12,0.0860382691025734
primaria,81.5736,0.08978921920061111
primaria,82.0272,0.09369219094514847
primaria,82.48079999999999,0.09775242954492569
primaria,82.9344,0.10197538882493973
primaria,83.388,0.10636637359857559
primaria,83.8416,0.11093100905418396
primaria,84.2952,0.1156749427318573
primaria,84.74879999999999,0.12060398608446121
primaria,85.2024,0.12572374939918518
primaria,85.656,0.13104018568992615
primaria,86.1096,0.13655917346477509
primaria,86.5632,0.1422867327928543
primaria,87.01679999999999,0.14822864532470703
primaria,87.4704,0.15439096093177795
primaria,87.924,0.1607796996831894
primaria,88.3776,0.1674005687236786
primaria,88.8312,0.1742595136165619
primaria,89.28479999999999,0.1813623160123825
primaria,89.7384,0.18871474266052246
primaria,90.19200000000001,0.19632209837436676
primaria,90.6456,0.20418986678123474
primaria,91.0992,0.21232321858406067
primaria,91.55279999999999,0.22072724997997284
primaria,92.00639999999999,0.22940635681152344
primaria,92.46000000000001,0.238365039229393
