variable,x,y
bio4,75.00414199829102,0.0
bio4,75.78475065917969,0.0
bio4,76.56535932006837,0.0
bio4,77.34596798095703,0.0
bio4,78.1265766418457,0.0
bio4,78.90718530273438,0.0
bio4,79.68779396362305,0.0
bio4,80.46840262451173,0.0
bio4,81.2490112854004,0.0
bio4,82.02961994628906,0.0
bio4,82.81022860717773,0.0
bio4,83.59083726806641,0.0
bio4,84.37144592895508,0.0
bio4,85.15205458984376,0.0
bio4,85.93266325073243,0.0
bio4,86.71327191162109,0.0
bio4,87.49388057250977,0.0
bio4,88.27448923339844,0.0
bio4,89.05509789428712,0.0
bio4,89.83570655517579,0.0
bio4,90.61631521606445,0.0
bio4,91.39692387695312,0.0
bio4,92.1775325378418,0.0
bio4,92.95814119873047,0.0
bio4,93.73874985961915,0.0
bio4,94.51935852050781,0.0
bio4,95.29996718139648,0.0
bio4,96.08057584228516,0.0
bio4,96.86118450317383,0.0
bio4,97.6417931640625,0.0
bio4,98.42240182495118,0.0
bio4,99.20301048583985,0.0
bio4,99.98361914672851,0.0
bio4,100.76422780761719,0.0
bio4,101.54483646850586,0.0
bio4,102.32544512939454,0.0
bio4,103.1060537902832,0.0
bio4,103.88666245117187,0.0
bio4,104.66727111206055,0.0
bio4,105.44787977294922,0.0
bio4,106.2284884338379,0.0
bio4,107.00909709472657,0.0
bio4,107.78970575561524,1.586625694471877E-5
bio4,108.5703144165039,1.6383813999709673E-5
bio4,109.3509230773926,1.6918253095354885E-5
bio4,110.13153173828125,1.747012538544368E-5
bio4,110.91214039916993,1.804000021365937E-5
bio4,111.69274906005859,1.8628463294589892E-5
bio4,112.47335772094728,1.9236122170696035E-5
bio4,113.25396638183594,1.9863602574332617E-5
bio4,114.03457504272461,2.05115520657273E-5
bio4,114.81518370361329,2.1180636395001784E-5
bio4,115.59579236450196,2.1871546778129414E-5
bio4,116.37640102539063,2.2584992620977573E-5
bio4,117.15700968627931,2.3321712433244102E-5
bio4,117.93761834716797,2.4082462914520875E-5
bio4,118.71822700805666,2.4868020773283206E-5
bio4,119.49883566894532,2.5679210011730902E-5
bio4,120.27944432983399,2.651686008903198E-5
bio4,121.06005299072265,2.7381835025153123E-5
bio4,121.84066165161133,2.8275024305912666E-5
bio4,122.6212703125,2.9197348339948803E-5
bio4,123.40187897338868,3.014975845871959E-5
bio4,124.18248763427735,3.113323327852413E-5
bio4,124.96309629516603,3.214879325241782E-5
bio4,125.7437049560547,3.319747338537127E-5
bio4,126.52431361694337,3.428036507102661E-5
bio4,127.30492227783203,3.539857789292E-5
bio4,128.0855309387207,3.6553257814375684E-5
bio4,128.86613959960937,3.77456090063788E-5
bio4,129.64674826049804,3.897685746778734E-5
bio4,130.42735692138672,4.0248265577247366E-5
bio4,131.2079655822754,4.156114300712943E-5
bio4,131.98857424316407,4.2916850361507386E-5
bio4,132.76918290405274,4.4316773710306734E-5
bio4,133.54979156494142,4.5762364607071504E-5
bio4,134.3304002258301,4.72551109851338E-5
bio4,135.11100888671876,4.87965444335714E-5
bio4,135.89161754760744,5.0388258387101814E-5
bio4,136.6722262084961,5.203189357416704E-5
bio4,137.45283486938476,5.3729138016933575E-5
bio4,138.23344353027346,5.548174522118643E-5
bio4,139.0140521911621,5.729152326239273E-5
bio4,139.7946608520508,5.91603311477229E-5
