variable,x,y
primaria,47.1,0.0
primaria,47.5536,0.0
primaria,48.007200000000005,0.0
primaria,48.4608,0.0
primaria,48.9144,0.0
primaria,49.368,0.0
primaria,49.821600000000004,0.0
primaria,50.2752,0.0
primaria,50.7288,0.0
primaria,51.1824,0.0
primaria,51.636,0.0
primaria,52.089600000000004,0.0
primaria,52.5432,0.0
primaria,52.9968,0.0
primaria,53.4504,0.0
primaria,53.904,0.0
primaria,54.3576,0.0
primaria,54.8112,0.0
primaria,55.2648,0.0
primaria,55.7184,0.0
primaria,56.172,0.0
primaria,56.6256,0.0
primaria,57.0792,0.0
primaria,57.5328,0.0
primaria,57.9864,0.0
primaria,58.44,0.0
primaria,58.8936,0.0
primaria,59.3472,0.0
primaria,59.8008,0.0
primaria,60.254400000000004,0.0
primaria,60.708,0.0
primaria,61.1616,0.0
primaria,61.6152,0.0
primaria,62.0688,0.0
primaria,62.522400000000005,0.0
primaria,62.976,0.0
primaria,63.4296,0.0
primaria,63.8832,0.0
primaria,64.3368,0.0
primaria,64.7904,0.0
primaria,65.244,0.0
primaria,65.6976,0.0
primaria,66.1512,0.9998913407325745
primaria,66.6048,0.9997973442077637
primaria,67.0584,0.9996377825737
primaria,67.512,0.9993778467178345
primaria,67.9656,0.998970091342926
primaria,68.4192,0.9983528256416321
primaria,68.8728,0.9974485635757446
primaria,69.3264,0.9961643218994141
primaria,69.78,0.9943919777870178
primaria,70.2336,0.9920105934143066
primaria,70.68719999999999,0.9888896346092224
primaria,71.1408,0.9848936200141907
primaria,71.59440000000001,0.9798867106437683
primaria,72.048,0.9737386703491211
primaria,72.5016,0.9663299918174744
primaria,72.95519999999999,0.9575576782226562
primaria,73.4088,0.9473389983177185
primaria,73.86240000000001,0.9356153011322021
primaria,74.316,0.9223543405532837
primaria,74.7696,0.9075520634651184
primaria,75.22319999999999,0.8912315368652344
primaria,75.6768,0.8734421730041504
primaria,76.1304,0.8542587757110596
primaria,76.584,0.833777129650116
primaria,77.0376,0.8121115565299988
primaria,77.49119999999999,0.7893909811973572
primaria,77.9448,0.7657561302185059
primaria,78.3984,0.7413540482521057
primaria,78.852,0.7163357734680176
primaria,79.3056,0.690852165222168
primaria,79.75919999999999,0.6650527715682983
primaria,80.21279999999999,0.6390810012817383
primaria,80.6664,0.6130733489990234
primaria,81.12,0.5871571898460388
primaria,81.5736,0.5614511966705322
primaria,82.0272,0.5360619425773621
primaria,82.48079999999999,0.5110850930213928
primaria,82.9344,0.48660463094711304
primaria,83.388,0.4626941978931427
primaria,83.8416,0.43941521644592285
primaria,84.2952,0.4168189465999603
primaria,84.74879999999999,0.3949461877346039
primaria,85.2024,0.37382960319519043
primaria,85.656,0.3534921109676361
primaria,86.1096,0.33394917845726013
primaria,86.5632,0.3152090609073639
primaria,87.01679999999999,0.29727455973625183
primaria,87.4704,0.2801421284675598
primaria,87.924,0.2676464021205902
primaria,88.3776,0.2558650076389313
primaria,88.8312,0.24598413705825806
primaria,89.28479999999999,0.23694990575313568
primaria,89.7384,0.22859935462474823
primaria,90.19200000000001,0.22085346281528473
primaria,90.6456,0.21531273424625397
primaria,91.0992,0.21404105424880981
primaria,91.55279999999999,0.2132430374622345
primaria,92.00639999999999,0.21601136028766632
primaria,92.46000000000001,0.21881042420864105
