variable,x,y
primaria,47.1,0.0
primaria,47.5536,0.0
primaria,48.007200000000005,0.0
primaria,48.4608,0.0
primaria,48.9144,0.0
primaria,49.368,0.0
primaria,49.821600000000004,0.0
primaria,50.2752,0.0
primaria,50.7288,0.0
primaria,51.1824,0.0
primaria,51.636,0.0
primaria,52.089600000000004,0.0
primaria,52.5432,0.0
primaria,52.9968,0.0
primaria,53.4504,0.0
primaria,53.904,0.0
primaria,54.3576,0.0
primaria,54.8112,0.0
primaria,55.2648,0.0
primaria,55.7184,0.0
primaria,56.172,0.0
primaria,56.6256,0.0
primaria,57.0792,0.0
primaria,57.5328,0.0
primaria,57.9864,0.0
primaria,58.44,0.0
primaria,58.8936,0.0
primaria,59.3472,0.0
primaria,59.8008,0.0
primaria,60.254400000000004,0.0
primaria,60.708,0.0
primaria,61.1616,0.0
primaria,61.6152,0.0
primaria,62.0688,0.0
primaria,62.522400000000005,0.0
primaria,62.976,0.0
primaria,63.4296,0.0
primaria,63.8832,0.0
primaria,64.3368,0.0
primaria,64.7904,0.0
primaria,65.244,0.0
primaria,65.6976,0.0
primaria,66.1512,0.21779000759124756
primaria,66.6048,0.2085733562707901
primaria,67.0584,0.1996924877166748
primaria,67.512,0.19114021956920624
primaria,67.9656,0.18290860950946808
primaria,68.4192,0.17498968541622162
primaria,68.8728,0.1673751175403595
primaria,69.3264,0.16005682945251465
primaria,69.78,0.153026282787323
primaria,70.2336,0.14627501368522644
primaria,70.68719999999999,0.13979440927505493
primaria,71.1408,0.13357621431350708
primaria,71.59440000000001,0.1276118904352188
primaria,72.048,0.12189306318759918
primaria,72.5016,0.11641138046979904
primaria,72.95519999999999,0.11115885525941849
primaria,73.4088,0.10612734407186508
primaria,73.86240000000001,0.10130895674228668
primaria,74.316,0.09669586271047592
primaria,74.7696,0.09228064119815826
primaria,75.22319999999999,0.0880557969212532
primaria,75.6768,0.08401403576135635
primaria,76.1304,0.08014845103025436
primaria,76.584,0.0764521136879921
primaria,77.0376,0.0729183554649353
primaria,77.49119999999999,0.06954065710306168
primaria,77.9448,0.06631285697221756
primaria,78.3984,0.06322881579399109
primaria,78.852,0.06028265878558159
primaria,79.3056,0.05746864899992943
primaria,79.75919999999999,0.05478137731552124
primaria,80.21279999999999,0.052215494215488434
primaria,80.6664,0.049765877425670624
primaria,81.12,0.04742755368351936
primaria,81.5736,0.045195840299129486
primaria,82.0272,0.0430661179125309
primaria,82.48079999999999,0.04103397950530052
primaria,82.9344,0.03909515589475632
primaria,83.388,0.037245627492666245
primaria,83.8416,0.03548145294189453
primaria,84.2952,0.03379886969923973
primaria,84.74879999999999,0.03219423443078995
primaria,85.2024,0.03066413663327694
primaria,85.656,0.02929709292948246
primaria,86.1096,0.028157997876405716
primaria,86.5632,0.027307655662298203
primaria,87.01679999999999,0.028001490980386734
primaria,87.4704,0.02871227078139782
primaria,87.924,0.02973530814051628
primaria,88.3776,0.030815163627266884
primaria,88.8312,0.03193311765789986
primaria,89.28479999999999,0.033090442419052124
primaria,89.7384,0.03428847715258598
primaria,90.19200000000001,0.03552854061126709
primaria,90.6456,0.03681204840540886
primaria,91.0992,0.038140442222356796
primaria,91.55279999999999,0.03951522335410118
primaria,92.00639999999999,0.040937867015600204
primaria,92.46000000000001,0.04240997135639191
