X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-99.0,21.983333,train,2.9995614571718044E-4,14.577021124533976,0.13684025341468165
-98.975,22.091667,train,1.5060732802762162E-4,8.409366744008272,0.07122285486310165
-98.9671,21.4798,train,0.008967469944807113,84.78577725120682,0.9877146954158347
-98.9667,22.45,train,1.4158621154861144E-4,8.005114270040028,0.06710328456967529
-98.966667,21.450001,train,0.007697004418911421,76.45717300826624,0.9770875246381812
-98.957097,21.749694,train,0.0014244073108710704,32.868952604440295,0.5028184591113456
-98.9542,21.469,train,0.009302395099094174,87.5268703699762,0.9895761874985446
-98.944,21.4546,train,0.009504860205007251,92.22333250112192,0.9905617980829655
-98.939144,21.8473,train,3.2670760216786253E-4,15.109683015144764,0.1480943494854785
-98.93,21.44,train,0.009420615205860992,91.27269075642413,0.9901635463467408
-98.925,21.475,train,0.0029735577396268575,48.645911332990096,0.7674843685318758
-98.916667,21.466667,train,0.001531617655393688,33.31201258464175,0.5282925872575857
-98.8875,21.440833,train,0.01152682666631292,97.43548321099864,0.9964998393385971
-98.8731,21.4399,train,0.009322022653664464,88.45944356901154,0.989676077556331
-98.870528,21.392694,train,0.006153252299966713,68.01857038710622,0.9511364871867077
-98.841667,21.425,train,0.007202707856710668,72.74854592089456,0.970799713807388
-98.833333,21.366667,train,0.00395524580172844,55.58967766937673,0.8563541256697605
-98.833333,21.416667,train,0.0061459790048746825,67.40317541527459,0.9509618206613504
-98.832545,21.343326,train,0.00421555791996085,57.647862385575735,0.8735755962108707
-98.756166,21.22208,train,0.002466733754028467,43.920145283698304,0.701848944244043
-98.9909,21.4908,test,0.007651595872786556,75.68542052300675,0.976571376097258
-98.992222,21.6125,test,0.00704068577349569,71.51264215040257,0.9683839491042805
-99.166667,22.0,test,0.0011245544305673817,29.936420121231485,0.4240274111629626
-98.908275,21.434121,test,0.008802907818228716,83.00505858368662,0.9866817358192651
-98.900294,21.420655,test,0.008078820828487277,79.78994031196815,0.9810013825933509
