X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-98.771389,21.359167,train,0.001329128317150935,61.78236345719909,0.8719042471778851
-98.991667,21.623056,train,0.0023241463183890235,88.51384878645888,0.9724948905144686
-98.592833,20.8925,train,0.0022663450613171427,87.82170241515473,0.9699236595995196
-98.341556,21.01525,train,8.00958526086077E-4,35.367173629869406,0.7101434603424537
-98.582778,20.873889,train,0.0019611667397927985,83.399576451785,0.9517894550192926
-98.540222,21.01525,train,0.0010574667963712163,46.82125808101777,0.8050396177859644
-98.7994,20.9669,train,7.661178452322703E-4,34.59718610280308,0.6941014230125573
-98.998611,21.393889,train,0.0012917010243986345,59.43010771368745,0.8642731070597555
-99.27,21.986944,train,7.091608401449008E-5,11.506096925635525,0.1038468858445365
-98.337778,20.014722,train,7.89722073232555E-6,1.8285522841184356,0.012135724736437314
-98.358055,21.004444,train,8.275062457450027E-4,36.27459674938997,0.7217999547896174
-98.620555,20.908333,train,0.0017052605067164885,76.0311252680121,0.9283898590381424
-98.5774,20.899301,train,0.0021247957067070007,86.32069288320464,0.9625656190964861
-99.121778,21.244972,train,9.172366295569107E-5,13.040174212598071,0.13221802687661777
-99.050056,21.267861,train,4.222155189369534E-4,23.709248279007593,0.4794093283454608
-98.593611,21.089167,train,0.0011600488517658366,53.80005729415254,0.8336334755734651
-98.798861,20.996806,train,0.0016389804233464269,73.36149728884925,0.9206623393494627
-98.454167,20.908611,train,8.322612960577726E-4,36.58854148791065,0.7238377332365602
-98.9028,21.6636,train,0.0013301828955962196,62.04861212993902,0.8721129362529842
-98.9909,21.4908,train,0.0035154011692536398,98.54373211660464,0.9956396079836848
-98.95,21.4667,train,0.003278951531886425,96.81433905170344,0.9937151694993619
-98.9388,21.4608,train,0.002589082210299108,91.92304594311751,0.9817392851015829
-98.891667,21.416667,train,0.002042896902974168,84.404763476885,0.957512325016379
-98.6575,20.986111,train,0.0030247919380706817,95.85117167863672,0.9906899235488154
-98.833333,21.416667,train,0.0010987608313830085,49.83656553098851,0.8170978534604549
-98.650833,20.752778,test,4.318182421054236E-4,24.036135886213646,0.4870813695757922
-98.769722,21.374722,test,0.0013435576392096726,62.46615974922476,0.8747303331022821
-98.93,21.44,test,0.0028855072987822618,94.97061883892802,0.9884527589943072
-98.588055,20.913056,test,0.0020667642969984285,84.78749113400833,0.9590516121298807
-98.520278,21.151944,test,0.0012297219354937773,57.11113822256772,0.8506233225431664
-98.61,20.8925,test,0.0018133666296848148,79.01190861941124,0.9394122425709408
