Predictor variable,Categorical,Sample average
bio14,false,37.45681833267212
bio18,false,559.1355694580078
bio3,false,55.457142944335935
bio4,false,340.1085595703125
bio7,false,21.437197113037108
bio9,false,19.009949684143066
distanciarios,false,0.0822143641859293
elevacion,false,626.96
primaria,false,142.88
