Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.60498E-4,19.759550807,0.331525989,0.076009975,0.12,0
2.68313E-4,20.023904172,0.339554833,0.075012469,0.12,0
2.8498E-4,20.272478623,0.356356101,0.074114713,0.12,0
3.0063E-4,20.508330026,0.371743774,0.073316708,0.12,0
3.14303E-4,20.756058425,0.384885838,0.072518703,0.12,0
3.30951E-4,21.017129616,0.400515839,0.071720698,0.12,0
3.37336E-4,21.251342231,0.40640483,0.071022444,0.12,0
3.46526E-4,21.52481382,0.414779436,0.070224439,0.12,0
3.60533E-4,21.773158196,0.427317524,0.069526185,0.12,0
3.74369E-4,22.032437077,0.439438003,0.06882793,0.12,0
3.81966E-4,22.259381773,0.445983586,0.068229426,0.12,0
3.9017E-4,22.53047493,0.452966298,0.067531172,0.12,0
4.00045E-4,22.768097288,0.461254807,0.066932668,0.12,0
4.06018E-4,23.009969827,0.46620756,0.066334165,0.12,0
4.09068E-4,23.254508756,0.468719059,0.065735661,0.12,0
4.15221E-4,23.502244815,0.473749081,0.065137157,0.12,0
4.23746E-4,23.754543014,0.480639883,0.064538653,0.16,0
4.30827E-4,24.01117652,0.486294759,0.06394015,0.16,0
4.41271E-4,24.274155281,0.494523438,0.063341646,0.16,0.166666667
4.47434E-4,24.541023411,0.499316976,0.062743142,0.16,0.166666667
4.50058E-4,24.765619159,0.501344021,0.062244389,0.16,0.166666667
4.56792E-4,25.038190131,0.506508751,0.061645885,0.16,0.166666667
4.6142E-4,25.268042477,0.51002698,0.061147132,0.16,0.166666667
4.74024E-4,25.502872046,0.519482709,0.060648379,0.16,0.166666667
4.78327E-4,25.789043388,0.522669476,0.060049875,0.16,0.166666667
4.83738E-4,26.030165683,0.52664579,0.059551122,0.16,0.166666667
4.9816E-4,26.27697782,0.537084173,0.059052369,0.16,0.166666667
5.11264E-4,26.530911357,0.546368173,0.058553616,0.16,0.166666667
5.20267E-4,26.789001178,0.552639123,0.058054863,0.16,0.166666667
5.26901E-4,27.051149349,0.557204109,0.05755611,0.16,0.166666667
5.35129E-4,27.264722079,0.562801541,0.057157107,0.16,0.166666667
5.39691E-4,27.533729268,0.565874378,0.056658354,0.16,0.166666667
5.47049E-4,27.751718862,0.570785104,0.056259352,0.16,0.166666667
5.4965E-4,28.026203059,0.572507543,0.055760599,0.16,0.166666667
5.61748E-4,28.304332611,0.580429409,0.055261845,0.16,0.166666667
5.68248E-4,28.530948409,0.584624959,0.054862843,0.16,0.166666667
5.75593E-4,28.760733406,0.58931544,0.05446384,0.16,0.166666667
5.81106E-4,29.05018391,0.592801006,0.053965087,0.16,0.166666667
5.95564E-4,29.287006173,0.60180245,0.053566085,0.16,0.166666667
6.05395E-4,29.527705747,0.607809254,0.053167082,0.16,0.166666667
6.11137E-4,29.771092059,0.611275449,0.05276808,0.16,0.166666667
6.21044E-4,30.017697427,0.617184379,0.052369077,0.16,0.166666667
6.25705E-4,30.266873466,0.619933191,0.051970075,0.16,0.166666667
6.33333E-4,30.51843367,0.624389339,0.051571072,0.16,0.166666667
6.42253E-4,30.77441389,0.629533604,0.05117207,0.16,0.166666667
6.53608E-4,31.0340969,0.635980793,0.050773067,0.16,0.166666667
6.6508E-4,31.297718768,0.642380741,0.050374065,0.16,0.166666667
6.72864E-4,31.56556849,0.646658666,0.049975062,0.16,0.166666667
6.75592E-4,31.767985254,0.648145786,0.04967581,0.16,0.166666667
6.84496E-4,32.04038121,0.652956603,0.049276808,0.16,0.166666667
6.85822E-4,32.314473037,0.653667286,0.048877805,0.16,0.166666667
7.06665E-4,32.524035856,0.664649989,0.048578554,0.16,0.166666667
7.16437E-4,32.809310513,0.669678934,0.048179551,0.16,0.166666667
7.20195E-4,33.024965354,0.671592689,0.047880299,0.16,0.166666667
7.25194E-4,33.313902428,0.674121113,0.047481297,0.16,0.166666667
7.36393E-4,33.533749679,0.679714704,0.047182045,0.16,0.166666667
7.53357E-4,33.7581272,0.688006398,0.046882793,0.16,0.166666667
7.56874E-4,34.060355633,0.689698329,0.046483791,0.16,0.166666667
7.60069E-4,34.28800419,0.691227047,0.046184539,0.16,0.166666667
7.62608E-4,34.516513378,0.692436783,0.045885287,0.16,0.166666667
7.76005E-4,34.824439347,0.698741952,0.045486284,0.2,0.166666667
7.92547E-4,35.060597419,0.706349167,0.045187032,0.2,0.166666667
7.99801E-4,35.29927747,0.709624464,0.044887781,0.2,0.166666667
8.03904E-4,35.539944136,0.711460441,0.044588529,0.24,0.166666667
8.09462E-4,35.782284212,0.713929169,0.044289277,0.24,0.166666667
8.17406E-4,36.026949924,0.717421342,0.043990025,0.24,0.166666667
8.27506E-4,36.27457867,0.721799955,0.043690773,0.24,0.166666667
8.30893E-4,36.523759297,0.723253049,0.043391521,0.28,0.166666667
8.36173E-4,36.773741723,0.725503029,0.043092269,0.32,0.166666667
8.4068E-4,37.025707972,0.727408925,0.042793017,0.32,0.166666667
8.49485E-4,37.27917351,0.731094759,0.042493766,0.32,0.166666667
8.64279E-4,37.535850117,0.737175553,0.042194514,0.32,0.166666667
8.68454E-4,37.795947515,0.738866941,0.041895262,0.32,0.166666667
8.71614E-4,38.057210842,0.740139586,0.04159601,0.32,0.166666667
8.79612E-4,38.320034456,0.743332898,0.041296758,0.32,0.166666667
8.90776E-4,38.585388651,0.747725237,0.040997506,0.32,0.166666667
8.95633E-4,38.764222309,0.74961276,0.040798005,0.32,0.166666667
