variable,x,y
primaria,47.1,0.0
primaria,47.5536,0.0
primaria,48.007200000000005,0.0
primaria,48.4608,0.0
primaria,48.9144,0.0
primaria,49.368,0.0
primaria,49.821600000000004,0.0
primaria,50.2752,0.0
primaria,50.7288,0.0
primaria,51.1824,0.0
primaria,51.636,0.0
primaria,52.089600000000004,0.0
primaria,52.5432,0.0
primaria,52.9968,0.0
primaria,53.4504,0.0
primaria,53.904,0.0
primaria,54.3576,0.0
primaria,54.8112,0.0
primaria,55.2648,0.0
primaria,55.7184,0.0
primaria,56.172,0.0
primaria,56.6256,0.0
primaria,57.0792,0.0
primaria,57.5328,0.0
primaria,57.9864,0.0
primaria,58.44,0.0
primaria,58.8936,0.0
primaria,59.3472,0.0
primaria,59.8008,0.0
primaria,60.254400000000004,0.0
primaria,60.708,0.0
primaria,61.1616,0.0
primaria,61.6152,0.0
primaria,62.0688,0.0
primaria,62.522400000000005,0.0
primaria,62.976,0.0
primaria,63.4296,0.0
primaria,63.8832,0.0
primaria,64.3368,0.0
primaria,64.7904,0.0
primaria,65.244,0.0
primaria,65.6976,0.0
primaria,66.1512,0.05710240826010704
primaria,66.6048,0.05812004953622818
primaria,67.0584,0.05915526673197746
primaria,67.512,0.060208309441804886
primaria,67.9656,0.06127948313951492
primaria,68.4192,0.06236907094717026
primaria,68.8728,0.06347738951444626
primaria,69.3264,0.06460469961166382
primaria,69.78,0.0657513216137886
primaria,70.2336,0.0669175535440445
primaria,70.68719999999999,0.06810372322797775
primaria,71.1408,0.06931011378765106
primaria,71.59440000000001,0.07053705304861069
primaria,72.048,0.0717848688364029
primaria,72.5016,0.07305389642715454
primaria,72.95519999999999,0.07434442639350891
primaria,73.4088,0.07565680891275406
primaria,73.86240000000001,0.07699138671159744
primaria,74.316,0.07834851741790771
primaria,74.7696,0.07972849160432816
primaria,75.22319999999999,0.0811316967010498
primaria,75.6768,0.08255849033594131
primaria,76.1304,0.08400918543338776
primaria,76.584,0.08548416942358017
primaria,77.0376,0.0869838073849678
primaria,77.49119999999999,0.0885084792971611
primaria,77.9448,0.09005850553512573
primaria,78.3984,0.09163429588079453
primaria,78.852,0.09323622286319733
primaria,79.3056,0.09486469626426697
primaria,79.75919999999999,0.09652003645896912
primaria,80.21279999999999,0.0982026755809784
primaria,80.6664,0.09991298615932465
primaria,81.12,0.10165141522884369
primaria,81.5736,0.10341828316450119
primaria,82.0272,0.10521402955055237
primaria,82.48079999999999,0.10703906416893005
primaria,82.9344,0.10889381915330887
primaria,83.388,0.11077865213155746
primaria,83.8416,0.11269399523735046
primaria,84.2952,0.11464028060436249
primaria,84.74879999999999,0.11661795526742935
primaria,85.2024,0.11862737685441971
primaria,85.656,0.12066900730133057
primaria,86.1096,0.12274327129125595
primaria,86.5632,0.12485063821077347
primaria,87.01679999999999,0.12699148058891296
primaria,87.4704,0.12916624546051025
primaria,87.924,0.13137541711330414
primaria,88.3776,0.13361936807632446
primaria,88.8312,0.13589857518672943
primaria,89.28479999999999,0.13821348547935486
primaria,89.7384,0.14056457579135895
primaria,90.19200000000001,0.14295220375061035
primaria,90.6456,0.14537687599658966
primaria,91.0992,0.1478390246629715
primaria,91.55279999999999,0.15033914148807526
primaria,92.00639999999999,0.1528775840997696
primaria,92.46000000000001,0.1554548740386963
