X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-98.582778,20.873889,train,0.006214586316823808,98.6654235584905,0.9999724580797393
-98.341556,21.01525,train,0.002088578135667499,75.55752088969521,0.9706581186769454
-98.806111,21.291667,train,4.5197909002764905E-4,31.896376072097112,0.5340315817090001
-98.358055,21.004444,train,0.0026434846881161263,82.31941565900635,0.9885099866215139
-98.595555,21.171944,train,0.0017478211740691518,66.1379122140597,0.9478179319415168
-98.337778,20.014722,train,3.779744013713341E-5,15.276951858712662,0.061863992181636185
-98.620555,20.908333,train,0.003625821838877324,89.17843495045864,0.9978146436680979
-98.588055,20.913056,train,0.005677950814523328,96.28144147644787,0.9999318045971322
-98.474056,21.103556,train,0.0024501833485251717,80.28327057398826,0.9840721541801107
-98.716972,20.721028,train,0.0017889224927377448,68.5125796961858,0.9513186242183885
-99.414467,20.429729,train,3.8198308443323545E-5,15.760678921809479,0.062499161223252386
-98.557778,21.1625,train,0.0017746639986504357,67.37280098409205,0.9501316343599618
-98.642778,20.724444,train,0.004215611912751432,90.39374028441479,0.9991932132500124
-98.800054,20.898596,train,3.1119444743170886E-4,27.47872770683868,0.40890346088333995
-98.57667,20.925,train,0.00526046691836717,95.17426775702785,0.9998619337676995
-98.650833,20.752778,test,4.7370853284709537E-4,32.499191999014556,0.5508283696081709
-98.592833,20.8925,test,0.00232293956577279,79.3701837311549,0.9802519937779036
-98.610036,20.892717,test,0.0033813355042240168,87.38100977162517,0.9966969420232169
