x,y,raw,cumulative,Cloglog
-99.662180296819,20.144604098652998,3.64633E-5,13.655865915,0.059747029
-99.09551366655501,19.852937450723,1.64656E-5,2.453632217,0.027435933
-99.695513628011,23.936270521742998,7.62789E-5,20.482956124,0.120917394
-97.912180409239,22.286270627739,4.76235E-8,0.000049301,0.000080459
-100.42884691423501,22.302937293335,9.13589E-6,1.174640524,0.015316953
-98.137180394785,21.027937375241,2.52765E-4,25.773802724,0.347573095
-99.47884697526301,22.144603970172998,4.27236E-5,17.541230762,0.069639647
-100.362180251851,22.736270598831,3.19815E-5,8.933680434,0.052600101
-100.245513592679,21.844603989444998,1.92973E-5,2.988388231,0.032077853
-98.528847036291,22.919603920387,6.77642E-6,0.641908274,0.011383752
-98.77051368743301,21.502937344727,2.731E-4,26.484632346,0.369608685
-98.570513700281,21.469604013535,2.70328E-4,26.375950033,0.366648911
-99.253846989717,20.636270733735,3.59126E-5,12.965424843,0.058871753
-99.328846984899,21.727937330273,1.60387E-5,2.336182688,0.026734159
-99.22051365852501,22.944603918781,7.01102E-6,0.69091527,0.011775533
-99.64551363122301,23.927937188945,5.42757E-5,19.221897805,0.087622073
-100.978846878903,21.761270661464998,2.1507E-5,3.213970357,0.0356847
-98.52051370349301,19.711270793157,7.9375E-6,0.979772052,0.013321219
-98.920513677797,20.427937413785,3.06566E-5,7.886584103,0.0504771
-99.170513661737,21.277937359181,4.28591E-5,17.562633465,0.069852585
-100.67884689817501,22.052937309395,2.84211E-5,5.271229861,0.04688398
-99.84551361837501,22.044603976597,2.42563E-5,3.98081676,0.040153622
-98.620513697069,20.019604106682998,2.35321E-5,3.679903955,0.038978504
-98.553847034685,19.836270785127,3.77117E-5,15.188425556,0.061728121
-99.453846976869,21.561270674313,1.33049E-5,2.010915505,0.022228385
-99.662180296819,23.919603856147,8.58322E-5,20.757386788,0.1349925
-99.203846992929,22.102937306183,1.95836E-6,0.053240644,0.003303263
-99.495513640859,20.769604058503,7.85455E-6,0.907188582,0.013182914
-99.245513656919,20.619604068139,3.76852E-5,15.154497094,0.061686096
-98.77051368743301,21.877937320637,1.38037E-5,2.081170883,0.023051993
-98.93718034339301,19.611270799581,1.67089E-5,2.553008946,0.027835597
-98.553847034685,21.777937327061,5.98686E-6,0.499245023,0.010064061
-100.328846920659,21.336270688767,3.03051E-5,7.621403348,0.049912997
-99.88718028236501,20.986270711251,2.24089E-5,3.450547728,0.037153071
-99.995513608739,21.436270682343,2.00784E-5,3.049344393,0.033354331
-100.05384693832501,21.177937365605,2.20005E-5,3.283704843,0.036488417
-99.67884696241501,23.911270523349,4.78973E-5,18.468548442,0.077736671
-99.253846989717,21.319604023171,4.11554E-5,17.054733972,0.067171322
-99.153846996141,19.244604156469,1.79996E-5,2.817082913,0.029953337
-98.495513705099,21.302937357575,3.82138E-4,29.591571555,0.475672348
-98.545513701887,22.752937264427,4.87912E-6,0.292150223,0.008209593
-98.56218036748301,19.677937461964998,7.93892E-6,0.982153535,0.013323576
-99.628846965627,23.911270523349,5.21641E-5,19.003506939,0.084361283
-100.620513568589,21.886270653434998,3.52772E-5,12.249534405,0.05786091
-99.078847000959,20.502937408967,2.98215E-5,7.143880822,0.049136472
-98.345513714735,22.402937286910998,1.29625E-6,0.02272727,0.002187672
-99.703846960809,23.902937190551,5.65178E-5,19.499155008,0.091071862
