"","gbifID","institutionCode","catalogNumber","kingdom","phylum","order","family","genus","species","lat","lon","year","country"
"1","4071218323","SLU","8703","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus nezahualcoyotl",22.129491,-99.601066,2011,"Mexico"
"2","4399492310","ENCB-IPN","P6114","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus nezahualcoyotl",21.931,-99.511002,2010,"Mexico"
"3","4104840898","University of Texas Biodiversity Collections (UTBC)","FOTX-ENCB_P5985(donor_dup16)","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus nezahualcoyotl",22.832,-99.394,2009,"Mexico"
"4","2629260774","ENCB-IPN","P6007","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus nezahualcoyotl",22.0825,-99.242222,2009,"Mexico"
"5","2629251190","ENCB-IPN","P6009","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus nezahualcoyotl",21.975,-99.191667,2009,"Mexico"
"6","2629504392","FB-UMSNH","7889","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus nezahualcoyotl",22.698644,-99.045572,2007,"Mexico"
"7","1932820422","TNHC","000024999","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus nezahualcoyotl",24.079,-99.1233,1969,"Mexico"
"8","1889123187","UMMZ","223205","Animalia","Chordata","Cyprinodontiformes","Poeciliidae","Xiphophorus","Xiphophorus nezahualcoyotl",22.892802,-99.558358,NA,"Mexico"
