"","acceptedNameUsage","acceptedScientificName","acceptedTaxonKey","accessRights","adm1","adm2","basisOfRecord","bibliographicCitation","catalogNumber","cloc","collectionCode","collectionID","collectionKey","continent","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","day","depth","depthAccuracy","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","family","familyKey","fieldNumber","fullCountry","gbifID","gbifRegion","genericName","genus","genusKey","geodeticDatum","habitat","higherClassification","higherGeography","hostingOrganizationKey","identificationID","identifiedBy","identifier","individualCount","installationKey","institutionCode","institutionID","institutionKey","isInCluster","ISO2","isSequenced","iucnRedListCategory","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","locality","locationID","lon","modified","month","nameAccordingTo","namePublishedInYear","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","projectId","protocol","publishedByGbifRegion","publishingCountry","publishingOrgKey","recordedBy","references","rightsHolder","samplingProtocol","scientificName","scientificNameID","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonomicStatus","taxonRank","taxonRemarks","type","verbatimCoordinateSystem","verbatimEventDate","verbatimLocality","vernacularName","waterBody","year","downloadDate"
"1","Xiphophorus continens","Xiphophorus continens Rauchenberger, Kallman & Morizot, 1990",2350163,NA,"San luis potosi","TAMASOPO","PRESERVED_SPECIMEN","Soto-Galera, E., L. Alcántara-Soria & J. Paulo-Maya. 2018. Estado actual, identificación de riesgos y propuestas para el manejo de las especies invasoras presentes en las regiones hidrológicas prioritarias, Confluencia de las Huastecas, Media Luna y Cabecera del río de La Laja. Escuela Nacional de Ciencias Biológicas. Instituto Politécnico Nacional. Base de datos SNIB-CONABIO, Proyecto No. LI038, HA026, FM027, FM017, W040, Y026, T027, S115, L051 y P006. Ciudad de México","UMMZ 223207","Northern branch of Rio Ojo Frio near its nacimiento, N of Damian Carmona, Rio Panuco drainage, San luis potosi, TAMASOPO, Mexico, NORTH_AMERICA","UMMZ","3679","ddfcd903-0d30-4d66-abb1-9a170b877391","NORTH_AMERICA",70,"Mexico",161,"5417790df262a41845ea89fe27cdb4c0","ec79bfca-83fc-4f89-baad-9a76d320953b","Estado actual, identificación de riesgos y propuestas para el manejo de las especies invasoras presentes en las regiones hidrológicas prioritarias, confluencia de las Huastecas, Media Luna y Cabecera del río de La Laja",25,0,0,"Otros Datos Ejemplar / Capturista: lilian Otros Datos Ejemplar / FechaCapturaEjemplar: 05/09/2011 02:06:37 p. m.",0,0,115,NA,"1981-04-25","Poeciliidae",7659,"NO DISPONIBLE","Mexico","2629259991","LATIN_AMERICA","Xiphophorus","Xiphophorus",2350152,"WGS84","Río","Animalia; Chordata; Osteichthyes; Cyprinodontiformes; Poeciliidae; Xiphophorus",NA,"ff90b050-c256-11db-b71b-b8a03c50a862","16391","Rauchenberger, M.; Kallman, K. D.; Morizot, D. C.","11ef56ac57441484c2c6216f742d07e4",7,"e081c7d7-2dab-42fd-94c4-9f275767fe7d","UMMZ","559","2a508411-2acd-45df-8a8b-00094ac65f87",TRUE,"MX",FALSE,"DD",2629259991,"Animalia",1,"es","2023-08-31T06:54:40.190+00:00","2024-01-25T01:47:45.908+00:00","2024-01-25T01:47:45.908+00:00",22.108333,"http://creativecommons.org/licenses/by/4.0/legalcode","Northern branch of Rio Ojo Frio near its nacimiento, N of Damian Carmona, Rio Panuco drainage","3689",-99.341667,"2021-03-19T00:00:00.000+00:00",4,"Fricke, Eschmeyer & van der Laan, 2020","0",NA,"11ef56ac57441484c2c6216f742d07e4",NA,"PRESENT","Cyprinodontiformes",547,NA,"University of Michigan, Museum of Zoology","Xiphophorus","Chordata",44,"Alcohol al 70%","SNIB-LI038-LI0381806F_SIB2018.10.02-ND","EML","LATIN_AMERICA","MX","ff90b050-c256-11db-b71b-b8a03c50a862","Kallman, K. D.; Morizot, D. C.",NA,"Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)",NA,"Xiphophorus continens Rauchenberger, Kallman & Morizot, 1990","161586","Xiphophorus continens",2350163,"continens",115,"3ba5e963486c534dba47f81fb9b4dd7e",2350163,"ACCEPTED","SPECIES",NA,"Event","grados minutos segundos",NA,NA,"espada del quince, short-sword platyfish, livebearers, espada de Quince, espada del quince",NA,1981,2024-08-29
"3",NA,"Xiphophorus continens Rauchenberger, Kallman & Morizot, 1990",2350163,NA,"San Luis Potosi",NA,"PRESERVED_SPECIMEN",NA,"223207","northern branch of Rio Ojo Frio near its nacimiento, N of Damian Carmona, Rio Panuco drainage, San Luis Potosi, Mexico, NORTH_AMERICA","ummz_fish",NA,"63bd995d-b48c-425d-bb55-04ce8477116d","NORTH_AMERICA",NA,"Mexico",341,NA,"59825263-9f89-43a9-8f22-c22a6a53b8fc","Fish",25,NA,NA,NA,NA,NA,115,NA,"1981-04-25","Poeciliidae",7659,"Z223207","Mexico","1889123240","LATIN_AMERICA","Xiphophorus","Xiphophorus",2350152,"WGS84",NA,NA,NA,"a5486e02-d249-4809-9273-deac47fb11e0",NA,NA,"e9f32aba-f9f8-46c0-b611-df5ea1b78444",NA,"cfbb523a-883c-48db-8258-dcfe32b11d64","UMMZ",NA,"2a508411-2acd-45df-8a8b-00094ac65f87",TRUE,"MX",FALSE,"DD",1889123240,"Animalia",1,NA,"2024-08-01T04:03:06.649+00:00","2024-08-01T04:08:15.683+00:00","2024-08-01T04:08:15.683+00:00",22.147028,"http://creativecommons.org/licenses/by/4.0/legalcode","northern branch of Rio Ojo Frio near its nacimiento, N of Damian Carmona, Rio Panuco drainage",NA,-99.313008,NA,4,NA,NA,NA,"e9f32aba-f9f8-46c0-b611-df5ea1b78444","Douglas Nelson","PRESENT","Cyprinodontiformes",547,NA,NA,NA,"Chordata",44,"EtOH - 7",NA,"EML","NORTH_AMERICA","US","6ea87510-0561-11d8-b851-b8a03c50a862","KD Kallman, D Morizot",NA,NA,NA,"Xiphophorus continens Rauchenberger, Kallman & Morizot, 1990",NA,"Xiphophorus continens",2350163,"continens",115,NA,2350163,"ACCEPTED","SPECIES","1 ad. male (alizarin stained alc.; no. 8), 4 ad. females, 2 juvs.",NA,NA,NA,NA,NA,NA,1981,2024-08-29
