"","get.especiecurrent..Especie","get.especiecurrent..X","get.especiecurrent..Y"
"2","Xiphophorus nezahualcoyotl",-99.511002,21.931
"3","Xiphophorus nezahualcoyotl",-99.394,22.832
"4","Xiphophorus nezahualcoyotl",-99.242222,22.0825
"5","Xiphophorus nezahualcoyotl",-99.191667,21.975
"6","Xiphophorus nezahualcoyotl",-99.045572,22.698644
"8","Xiphophorus nezahualcoyotl",-99.558358,22.892802
