Predictor variable,Categorical,Sample average
bio14,false,20.234758097549964
bio18,false,498.36813617574757
bio3,false,52.19770859027731
bio4,false,401.75539477118133
bio7,false,22.752182269918507
bio9,false,20.499825707797346
distanciarios,false,0.032833766144025944
elevacion,false,135.41379310344828
primaria,false,121.89655172413794
